timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678993938832,13704,practice.automationtesting.in,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: practice.automationtesting.in:443 failed to respond,Cenário de teste - Usuário navegador 1-5,text,false,,2099,0,10,10,https://practice.automationtesting.in/,0,0,13639
1678993939303,13332,practice.automationtesting.in,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: practice.automationtesting.in:443 failed to respond,Cenário de teste - Usuário navegador 1-10,text,false,,2099,0,10,10,https://practice.automationtesting.in/,0,0,13151
1678993938833,13802,practice.automationtesting.in,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: practice.automationtesting.in:443 failed to respond,Cenário de teste - Usuário navegador 1-3,text,false,,2099,0,10,10,https://practice.automationtesting.in/,0,0,13633
1678993938835,13802,practice.automationtesting.in,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: practice.automationtesting.in:443 failed to respond,Cenário de teste - Usuário navegador 1-4,text,false,,2099,0,10,10,https://practice.automationtesting.in/,0,0,13623
1678993939192,13445,practice.automationtesting.in,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: practice.automationtesting.in:443 failed to respond,Cenário de teste - Usuário navegador 1-9,text,false,,2099,0,10,10,https://practice.automationtesting.in/,0,0,13278
1678993938994,13644,practice.automationtesting.in,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: practice.automationtesting.in:443 failed to respond,Cenário de teste - Usuário navegador 1-7,text,false,,2099,0,10,10,https://practice.automationtesting.in/,0,0,13466
1678993938893,14541,practice.automationtesting.in,200,OK,Cenário de teste - Usuário navegador 1-6,text,true,,20402,810,10,10,https://practice.automationtesting.in/,14541,0,13585
1678993939091,14338,practice.automationtesting.in,200,OK,Cenário de teste - Usuário navegador 1-8,text,true,,20425,810,10,10,https://practice.automationtesting.in/,14336,0,13386
1678993938833,14596,practice.automationtesting.in,200,OK,Cenário de teste - Usuário navegador 1-2,text,true,,20425,810,10,10,https://practice.automationtesting.in/,14594,0,13629
1678993938834,14596,practice.automationtesting.in,200,OK,Cenário de teste - Usuário navegador 1-1,text,true,,20425,810,10,10,https://practice.automationtesting.in/,14596,0,13641
1678993954551,1583,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-5,text,true,,18303,845,10,10,https://practice.automationtesting.in/shop/,1583,0,668
1678993955499,749,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-8,text,true,,18125,845,10,10,https://practice.automationtesting.in/shop/,749,0,0
1678993955498,793,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-2,text,true,,18125,845,10,10,https://practice.automationtesting.in/shop/,792,0,0
1678993955498,809,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-6,text,true,,18125,845,10,10,https://practice.automationtesting.in/shop/,809,0,0
1678993955498,819,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-1,text,true,,18125,845,10,10,https://practice.automationtesting.in/shop/,819,0,0
1678993954645,1682,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-7,text,true,,18303,845,10,10,https://practice.automationtesting.in/shop/,1682,0,664
1678993954644,1688,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-4,text,true,,18303,845,10,10,https://practice.automationtesting.in/shop/,1687,0,672
1678993954644,1759,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-9,text,true,,18303,845,10,10,https://practice.automationtesting.in/shop/,1759,0,677
1678993954644,1789,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-3,text,true,,18303,845,10,10,https://practice.automationtesting.in/shop/,1789,0,682
1678993954644,1805,/shop/-9,200,OK,Cenário de teste - Usuário navegador 1-10,text,true,,18303,845,10,10,https://practice.automationtesting.in/shop/,1805,0,685
1678993958142,505,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-5,text,true,,16703,877,10,10,https://practice.automationtesting.in/product/html5-webapp-develpment/,505,0,0
1678993958251,648,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-8,text,true,,16686,877,9,9,https://practice.automationtesting.in/product/html5-webapp-develpment/,647,0,0
1678993958297,710,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-2,text,true,,16702,877,8,8,https://practice.automationtesting.in/product/html5-webapp-develpment/,710,0,0
1678993958313,781,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-6,text,true,,16702,877,7,7,https://practice.automationtesting.in/product/html5-webapp-develpment/,780,0,0
1678993958329,782,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-1,text,true,,16677,877,6,6,https://practice.automationtesting.in/product/html5-webapp-develpment/,782,0,0
1678993958346,857,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-4,text,true,,16702,877,5,5,https://practice.automationtesting.in/product/html5-webapp-develpment/,857,0,0
1678993958329,879,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-7,text,true,,16702,877,4,4,https://practice.automationtesting.in/product/html5-webapp-develpment/,878,0,0
1678993958438,804,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-3,text,true,,16686,877,3,3,https://practice.automationtesting.in/product/html5-webapp-develpment/,803,0,0
1678993958407,843,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-9,text,true,,16686,877,2,2,https://practice.automationtesting.in/product/html5-webapp-develpment/,842,0,0
1678993958453,806,/product/html5-webapp-develpment/-29,200,OK,Cenário de teste - Usuário navegador 1-10,text,true,,16686,877,1,1,https://practice.automationtesting.in/product/html5-webapp-develpment/,805,0,0
